名称,代码,成交额,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,dt
三六零,601360,103.1,19.98,4.06,196.44,205.5,2023040414
中芯国际,688981,90.8,56.95,4.34,37.1,38.43,2023040414
中国电信,601728,61.0,6.92,6.13,59.08,65.16,2023040414
华工科技,000988,56.2,30.7,9.84,80.06,87.08,2023040414
润和软件,300339,55.1,30.54,0.76,55.42,64.46,2023040414
兆易创新,603986,50.7,130.1,-1.09,26.07,26.96,2023040414
海康威视,002415,47.7,44.84,5.68,30.77,29.3,2023040414
北京君正,300223,47.3,109.2,8.87,53.33,55.03,2023040414
三安光电,600703,46.8,22.69,3.8,30.4,32.23,2023040414
北方华创,002371,46.6,283.59,1.32,23.14,25.87,2023040414
易华录,300212,46.5,45.85,15.0,87.22,124.64,2023040414
中兴通讯,000063,46.3,32.37,0.28,24.84,25.17,2023040414
紫光股份,000938,46.2,34.3,6.46,68.38,75.81,2023040414
新易盛,300502,45.1,60.59,4.11,145.3,155.12,2023040414
中国联通,600050,40.8,5.69,2.34,15.42,27.01,2023040414
沪电股份,002463,40.3,23.3,3.6,84.77,95.8,2023040414
拓尔思,300229,40.0,33.43,-1.09,159.15,185.24,2023040414
歌尔股份,002241,38.1,22.36,2.47,28.43,32.86,2023040414
中微公司,688012,37.7,165.1,0.73,65.27,68.45,2023040414
电科网安,002268,37.2,42.92,5.2,33.0,40.58,2023040414
工业富联,601138,36.3,17.46,-1.69,87.54,90.2,2023040414
中际旭创,300308,35.6,66.14,-1.64,133.71,144.69,2023040414
长电科技,600584,34.5,34.9,1.01,49.02,51.41,2023040414
中油资本,000617,34.1,7.59,4.69,32.46,36.27,2023040414
寒武纪-U,688256,34.0,215.7,2.23,279.89,295.34,2023040414
人民网,603000,33.9,22.7,9.24,22.31,34.56,2023040414
四川长虹,600839,33.0,5.01,-0.99,88.35,89.77,2023040414
大华股份,002236,33.0,25.45,4.09,119.97,125.02,2023040414
中国建筑,601668,32.9,6.15,5.13,12.02,13.26,2023040414
中国铁建,601186,32.2,10.03,9.14,27.12,29.75,2023040414
完美世界,002624,32.1,19.11,2.74,47.91,50.24,2023040414
中科创达,300496,31.7,119.32,8.62,15.65,19.37,2023040414
澜起科技,688008,31.6,73.73,3.08,17.8,17.78,2023040414
传音控股,688036,31.6,120.69,7.22,52.77,51.77,2023040414
中国中铁,601390,31.3,7.68,10.03,36.17,38.13,2023040414
美亚柏科,300188,30.6,26.69,13.57,96.97,107.54,2023040414
全志科技,300458,30.5,32.38,14.22,55.67,59.04,2023040414
牧原股份,002714,30.2,50.65,1.54,6.77,3.9,2023040414
海光信息,688041,30.0,85.2,0.47,102.76,112.36,2023040414
华泰证券,601688,28.2,13.7,4.18,15.22,7.54,2023040414
剑桥科技,603083,27.8,45.5,10.01,286.25,304.8,2023040414
士兰微,600460,27.7,38.01,1.31,14.32,15.92,2023040414
中国卫通,601698,27.4,22.92,2.14,94.24,100.7,2023040414
四维图新,002405,26.8,14.96,2.54,26.24,35.75,2023040414
巨人网络,002558,26.5,15.32,8.42,88.44,92.46,2023040414
五 粮 液,000858,26.4,196.02,0.43,10.0,8.48,2023040414
温氏股份,300498,24.7,21.9,6.31,13.3,11.56,2023040414
三七互娱,002555,24.7,31.66,2.56,70.86,74.92,2023040414
鸿博股份,002229,24.1,16.4,2.69,136.31,146.62,2023040414
中航电测,300114,24.1,52.98,6.6,401.7,416.37,2023040414
神州泰岳,300002,23.1,10.66,1.72,136.36,145.62,2023040414
南大光电,300346,22.6,38.3,0.0,27.97,31.84,2023040414
中国交建,601800,22.5,11.6,8.82,40.1,44.1,2023040414
首都在线,300846,21.8,18.89,2.83,82.69,94.14,2023040414
闻泰科技,600745,21.7,57.31,1.29,6.5,9.0,2023040414
通富微电,002156,21.4,22.94,0.75,36.96,39.2,2023040414
